Name,Year,Total_sum,Female_count,Male_count,Female_percentage,Male_percentage,Gender
Maliah,2013,1,1,0,100.0,0.0,Female
Maxemilia,2013,1,1,0,100.0,0.0,Female
Taliah,2013,1,1,0,100.0,0.0,Female
Kenzi,2013,5,5,0,100.0,0.0,Female
Seira,2013,1,1,0,100.0,0.0,Female
Hartlyn,2013,1,1,0,100.0,0.0,Female
Trae-Lynn,2013,1,1,0,100.0,0.0,Female
Jaqueline,2013,1,1,0,100.0,0.0,Female
Nakenya,2013,1,1,0,100.0,0.0,Female
Teya,2013,1,1,0,100.0,0.0,Female
Alisa,2013,4,4,0,100.0,0.0,Female
Sahar,2013,2,2,0,100.0,0.0,Female
Sukaina,2013,1,1,0,100.0,0.0,Female
Lovelene,2013,1,1,0,100.0,0.0,Female
Jaxynn,2013,2,2,0,100.0,0.0,Female
Alysha,2013,4,4,0,100.0,0.0,Female
Beth,2013,1,1,0,100.0,0.0,Female
Raeanna,2013,1,1,0,100.0,0.0,Female
Tamara,2013,5,5,0,100.0,0.0,Female
Sahlara,2013,1,1,0,100.0,0.0,Female
Carrie,2013,2,2,0,100.0,0.0,Female
Helaina,2013,1,1,0,100.0,0.0,Female
Kensi,2013,2,2,0,100.0,0.0,Female
Aniya,2013,6,6,0,100.0,0.0,Female
Curia,2013,1,1,0,100.0,0.0,Female
Addie,2013,3,3,0,100.0,0.0,Female
Aniston,2013,1,1,0,100.0,0.0,Female
Neharika,2013,1,1,0,100.0,0.0,Female
Evita,2013,1,1,0,100.0,0.0,Female
Katherina-Jane,2013,1,1,0,100.0,0.0,Female
Maub,2013,1,1,0,100.0,0.0,Female
Kendal,2013,3,3,0,100.0,0.0,Female
Madelen,2013,1,1,0,100.0,0.0,Female
Sofia,2013,101,101,0,100.0,0.0,Female
Ahlam,2013,1,1,0,100.0,0.0,Female
Aidia,2013,1,1,0,100.0,0.0,Female
Jillia,2013,1,1,0,100.0,0.0,Female
Wareesha,2013,1,1,0,100.0,0.0,Female
Mahlet,2013,1,1,0,100.0,0.0,Female
Kasumi,2013,1,1,0,100.0,0.0,Female
Adama,2013,2,2,0,100.0,0.0,Female
Adeeb,2013,1,1,0,100.0,0.0,Female
Kala,2013,2,2,0,100.0,0.0,Female
Lootii,2013,1,1,0,100.0,0.0,Female
Luise,2013,1,1,0,100.0,0.0,Female
Omalkhayr,2013,1,1,0,100.0,0.0,Female
Camilla,2013,3,3,0,100.0,0.0,Female
Mahdia,2013,1,1,0,100.0,0.0,Female
Kate,2013,44,44,0,100.0,0.0,Female
Kaila,2013,1,1,0,100.0,0.0,Female
Zofia,2013,4,4,0,100.0,0.0,Female
Arianne,2013,6,6,0,100.0,0.0,Female
Mòrag-Elizabeth,2013,1,1,0,100.0,0.0,Female
