Name,Year,Total_sum,Female_count,Male_count,Female_percentage,Male_percentage,Gender
JOSEPHA,1908,17,17,0,100.0,0.0,Female
URBANIE,1908,3,3,0,100.0,0.0,Female
VITALINE,1908,24,24,0,100.0,0.0,Female
ALBERTE,1908,96,96,0,100.0,0.0,Female
JUDITH,1908,55,55,0,100.0,0.0,Female
DARIE,1908,4,4,0,100.0,0.0,Female
EUPHRASIE,1908,71,71,0,100.0,0.0,Female
ANNONCIADE,1908,32,32,0,100.0,0.0,Female
ANNITA,1908,12,12,0,100.0,0.0,Female
APPOLONIE,1908,16,16,0,100.0,0.0,Female
ZENOBIE,1908,7,7,0,100.0,0.0,Female
JULIANE,1908,5,5,0,100.0,0.0,Female
BERTILDE,1908,3,3,0,100.0,0.0,Female
SONIA,1908,5,5,0,100.0,0.0,Female
DORIA,1908,29,29,0,100.0,0.0,Female
REMISE,1908,3,3,0,100.0,0.0,Female
MARIE-PAULINE,1908,3,3,0,100.0,0.0,Female
THEODORA,1908,25,25,0,100.0,0.0,Female
ISOLINE,1908,7,7,0,100.0,0.0,Female
JOSEPHINE,1908,2917,2917,0,100.0,0.0,Female
ANITA,1908,38,38,0,100.0,0.0,Female
GERMINALE,1908,3,3,0,100.0,0.0,Female
ALFREDE,1908,3,3,0,100.0,0.0,Female
HERVELINE,1908,11,11,0,100.0,0.0,Female
LISBETH,1908,3,3,0,100.0,0.0,Female
JULIEN,1908,1616,0,1616,0.0,100.0,Male
MARIANO,1908,7,0,7,0.0,100.0,Male
SADI,1908,7,0,7,0.0,100.0,Male
LEONUS,1908,3,0,3,0.0,100.0,Male
MARCIEN,1908,5,0,5,0.0,100.0,Male
ALBIN,1908,59,0,59,0.0,100.0,Male
ALBERT,1908,4699,0,4699,0.0,100.0,Male
BERNARDIN,1908,18,0,18,0.0,100.0,Male
AMAURY,1908,5,0,5,0.0,100.0,Male
LUCIEN,1908,4312,0,4312,0.0,100.0,Male
MATHIAS,1908,63,0,63,0.0,100.0,Male
CASIMIR,1908,102,0,102,0.0,100.0,Male
HYPOLYTE,1908,6,0,6,0.0,100.0,Male
SABAS,1908,3,0,3,0.0,100.0,Male
THEOTIME,1908,4,0,4,0.0,100.0,Male
OSWALD,1908,13,0,13,0.0,100.0,Male
MODERAN,1908,6,0,6,0.0,100.0,Male
HIPPOLYTE,1908,207,0,207,0.0,100.0,Male
WENDELIN,1908,3,0,3,0.0,100.0,Male
STEPHEN,1908,8,0,8,0.0,100.0,Male
NORBERT,1908,191,0,191,0.0,100.0,Male
JOSEPHIN,1908,4,0,4,0.0,100.0,Male
HAROLD,1908,5,0,5,0.0,100.0,Male
BARTHELEMI,1908,14,0,14,0.0,100.0,Male
GEROME,1908,10,0,10,0.0,100.0,Male
CAMILLE,1908,287709,207732,79977,72.20212089298562,27.79787910701437,Unisex
PULCHERIE,1908,738,579,159,78.45528455284553,21.54471544715448,Unisex
PHILOGONE,1908,396,183,213,46.21212121212121,53.78787878787878,Unisex
AVIT,1908,485,106,379,21.855670103092784,78.14432989690722,Unisex
BONIFACE,1908,1187,217,970,18.28138163437237,81.71861836562763,Unisex
SULPICE,1908,508,182,326,35.826771653543304,64.1732283464567,Unisex
WENCESLAS,1908,877,175,702,19.95438996579248,80.04561003420753,Unisex
EULOGE,1908,621,198,423,31.88405797101449,68.11594202898551,Unisex
MESMIN,1908,773,183,590,23.67399741267788,76.32600258732212,Unisex
LEONIDE,1908,1588,1245,343,78.40050377833752,21.599496221662463,Unisex
MODESTE,1908,1853,656,1197,35.4020507285483,64.59794927145171,Unisex
SAINTE,1908,1055,648,407,61.4218009478673,38.5781990521327,Unisex
SEPTIME,1908,394,119,275,30.20304568527919,69.79695431472082,Unisex
LEONCE,1908,9290,2041,7249,21.96986006458557,78.03013993541443,Unisex
MARY,1908,6861,5830,1031,84.97303600058301,15.026963999416996,Unisex
_PRENOMS_RARES,1908,1760252,908578,851674,51.616359475802334,48.38364052419767,Unisex
AMOUR,1908,782,287,495,36.70076726342711,63.29923273657288,Unisex
CRESCENT,1908,447,87,360,19.463087248322147,80.53691275167785,Unisex
HYACINTHE,1908,4679,1173,3506,25.069459286172258,74.93054071382774,Unisex
SCHOLASTIQUE,1908,1080,835,245,77.31481481481481,22.685185185185187,Unisex
NONCE,1908,598,172,426,28.762541806020064,71.23745819397993,Unisex
SOSTHENE,1908,1059,185,874,17.469310670443818,82.53068932955618,Unisex
PLACIDE,1908,1098,214,884,19.489981785063755,80.51001821493625,Unisex
ANTONIE,1908,986,749,237,75.9634888438134,24.036511156186613,Unisex
NICOMEDE,1908,430,193,237,44.88372093023256,55.11627906976744,Unisex
ANGELA,1909,17,17,0,100.0,0.0,Female
LAURETTE,1909,24,24,0,100.0,0.0,Female
ELIZE,1909,4,4,0,100.0,0.0,Female
ROSINE,1909,175,175,0,100.0,0.0,Female
LISE,1909,42,42,0,100.0,0.0,Female
MATHILDE,1909,1008,1008,0,100.0,0.0,Female
EDESE,1909,3,3,0,100.0,0.0,Female
VIVIENNE,1909,21,21,0,100.0,0.0,Female
ZENOBIE,1909,8,8,0,100.0,0.0,Female
DOCTROVEE,1909,3,3,0,100.0,0.0,Female
MARIE-SAINTE,1909,3,3,0,100.0,0.0,Female
NOELE,1909,41,41,0,100.0,0.0,Female
LILLY,1909,7,7,0,100.0,0.0,Female
BARBE,1909,3019,2623,396,86.88307386551838,13.116926134481616,Female
DOROTHE,1909,3,3,0,100.0,0.0,Female
VINCIENNE,1909,3,3,0,100.0,0.0,Female
SIDONIE,1909,184,184,0,100.0,0.0,Female
