Name,Year,Total_sum,Female_count,Male_count,Female_percentage,Male_percentage,Gender
Omega,1914,22,22,0,100.0,0.0,Female
Ellnora,1914,5,5,0,100.0,0.0,Female
Thalma,1914,5,5,0,100.0,0.0,Female
Eloisa,1914,41,41,0,100.0,0.0,Female
Corrie,1914,41,41,0,100.0,0.0,Female
Elenore,1914,38,38,0,100.0,0.0,Female
Luise,1914,9,9,0,100.0,0.0,Female
Aileene,1914,7,7,0,100.0,0.0,Female
Arbelia,1914,5,5,0,100.0,0.0,Female
Emelda,1914,15,15,0,100.0,0.0,Female
Lorna,1914,135,135,0,100.0,0.0,Female
Maragret,1914,9,9,0,100.0,0.0,Female
Louvinia,1914,9,9,0,100.0,0.0,Female
Leoler,1914,6,6,0,100.0,0.0,Female
Lavona,1914,18,18,0,100.0,0.0,Female
Leone,1914,177,171,6,96.61016949152544,3.389830508474576,Female
Ena,1914,37,37,0,100.0,0.0,Female
Olive,1914,1209,1200,9,99.25558312655087,0.7444168734491315,Female
Princess,1914,14,14,0,100.0,0.0,Female
Valeta,1914,6,6,0,100.0,0.0,Female
Martie,1914,6,6,0,100.0,0.0,Female
Ardella,1914,50,50,0,100.0,0.0,Female
Rosemary,1914,563,563,0,100.0,0.0,Female
Vietta,1914,9,9,0,100.0,0.0,Female
Giuseppina,1914,10,10,0,100.0,0.0,Female
Coye,1914,5,5,0,100.0,0.0,Female
Waneta,1914,40,40,0,100.0,0.0,Female
Catherine,1914,6633,6613,20,99.69847731041762,0.3015226895823911,Female
Helyne,1914,6,6,0,100.0,0.0,Female
Lorana,1914,7,7,0,100.0,0.0,Female
Debra,1914,5,5,0,100.0,0.0,Female
Berta,1914,75,75,0,100.0,0.0,Female
Irene,1914,6211,6197,14,99.77459346321044,0.2254065367895668,Female
Permelia,1914,8,8,0,100.0,0.0,Female
Jullia,1914,6,6,0,100.0,0.0,Female
Novis,1914,6,6,0,100.0,0.0,Female
Alberta,1914,1362,1350,12,99.11894273127754,0.881057268722467,Female
Lilie,1914,16,16,0,100.0,0.0,Female
Winnifred,1914,94,94,0,100.0,0.0,Female
Lavera,1914,41,41,0,100.0,0.0,Female
Eulah,1914,39,39,0,100.0,0.0,Female
Charlee,1914,5,5,0,100.0,0.0,Female
Aline,1914,277,277,0,100.0,0.0,Female
Annabelle,1914,315,315,0,100.0,0.0,Female
Erlene,1914,31,31,0,100.0,0.0,Female
Kathlyn,1914,101,101,0,100.0,0.0,Female
Flora,1914,1152,1152,0,100.0,0.0,Female
Lema,1914,10,10,0,100.0,0.0,Female
Mona,1914,212,212,0,100.0,0.0,Female
Ellanor,1914,7,7,0,100.0,0.0,Female
Clessie,1914,6,6,0,100.0,0.0,Female
Alverta,1914,66,66,0,100.0,0.0,Female
Elberta,1914,43,43,0,100.0,0.0,Female
Nena,1914,19,19,0,100.0,0.0,Female
Verlie,1914,51,51,0,100.0,0.0,Female
Cressie,1914,5,5,0,100.0,0.0,Female
Lita,1914,11,11,0,100.0,0.0,Female
Lois,1914,3490,3432,58,98.3381088825215,1.66189111747851,Female
Cozy,1914,5,5,0,100.0,0.0,Female
Rhea,1914,123,123,0,100.0,0.0,Female
Lanell,1914,6,6,0,100.0,0.0,Female
Walsie,1914,8,8,0,100.0,0.0,Female
Lyda,1914,102,102,0,100.0,0.0,Female
Maudell,1914,10,10,0,100.0,0.0,Female
Aleitha,1914,6,6,0,100.0,0.0,Female
Mazella,1914,6,6,0,100.0,0.0,Female
Misao,1914,7,7,0,100.0,0.0,Female
Barbra,1914,9,9,0,100.0,0.0,Female
Elga,1914,8,8,0,100.0,0.0,Female
Jocie,1914,10,10,0,100.0,0.0,Female
Cecille,1914,11,11,0,100.0,0.0,Female
Maryellen,1914,26,26,0,100.0,0.0,Female
Verneice,1914,5,5,0,100.0,0.0,Female
Effie,1914,726,726,0,100.0,0.0,Female
Roena,1914,19,19,0,100.0,0.0,Female
Eular,1914,5,5,0,100.0,0.0,Female
Miranda,1914,8,8,0,100.0,0.0,Female
Lou,1914,265,227,38,85.66037735849056,14.339622641509434,Female
Arta,1914,8,8,0,100.0,0.0,Female
Mell,1914,6,6,0,100.0,0.0,Female
Levina,1914,10,10,0,100.0,0.0,Female
Christeen,1914,31,31,0,100.0,0.0,Female
Belvia,1914,10,10,0,100.0,0.0,Female
Malissia,1914,14,14,0,100.0,0.0,Female
Ople,1914,9,9,0,100.0,0.0,Female
Luevenia,1914,14,14,0,100.0,0.0,Female
Ebba,1914,20,20,0,100.0,0.0,Female
Alene,1914,130,130,0,100.0,0.0,Female
Lacie,1914,8,8,0,100.0,0.0,Female
Alina,1914,5,5,0,100.0,0.0,Female
Rena,1914,387,387,0,100.0,0.0,Female
Georgana,1914,6,6,0,100.0,0.0,Female
Jetta,1914,9,9,0,100.0,0.0,Female
Luba,1914,10,10,0,100.0,0.0,Female
Zelphia,1914,9,9,0,100.0,0.0,Female
Macil,1914,8,8,0,100.0,0.0,Female
Clarabell,1914,10,10,0,100.0,0.0,Female
Eathel,1914,16,16,0,100.0,0.0,Female
Avinell,1914,5,5,0,100.0,0.0,Female
Katheryne,1914,17,17,0,100.0,0.0,Female
Petra,1914,111,111,0,100.0,0.0,Female
Nancie,1914,9,9,0,100.0,0.0,Female
Berthe,1914,12,12,0,100.0,0.0,Female
Samantha,1914,20,20,0,100.0,0.0,Female
Levonia,1914,6,6,0,100.0,0.0,Female
Russie,1914,8,8,0,100.0,0.0,Female
Filippa,1914,5,5,0,100.0,0.0,Female
Geneieve,1914,10,10,0,100.0,0.0,Female
Belle,1914,353,353,0,100.0,0.0,Female
Vincenzina,1914,8,8,0,100.0,0.0,Female
Shigeko,1914,6,6,0,100.0,0.0,Female
Etheleen,1914,7,7,0,100.0,0.0,Female
Neoma,1914,63,63,0,100.0,0.0,Female
Helia,1914,5,5,0,100.0,0.0,Female
Callie,1914,331,318,13,96.07250755287008,3.927492447129909,Female
Trudy,1914,19,19,0,100.0,0.0,Female
Eugena,1914,7,7,0,100.0,0.0,Female
Robbie,1914,199,180,19,90.45226130653266,9.547738693467336,Female
Kiyoko,1914,15,15,0,100.0,0.0,Female
