Name,Year,Total_sum,Female_count,Male_count,Female_percentage,Male_percentage,Gender
Beth,2013,1,1,0,100.0,0.0,Female
Tamara,2013,5,5,0,100.0,0.0,Female
Kensi,2013,2,2,0,100.0,0.0,Female
Aniston,2013,1,1,0,100.0,0.0,Female
Kendal,2013,3,3,0,100.0,0.0,Female
Kate,2013,44,44,0,100.0,0.0,Female
Arianne,2013,6,6,0,100.0,0.0,Female
Giovanna,2013,1,1,0,100.0,0.0,Female
Hillary,2013,3,3,0,100.0,0.0,Female
Morley,2013,1,1,0,100.0,0.0,Female
Georgina,2013,2,2,0,100.0,0.0,Female
Riya,2013,11,11,0,100.0,0.0,Female
Jasnoor,2013,3,3,0,100.0,0.0,Female
Carsen,2013,4,0,4,0.0,100.0,Male
Kuol,2013,2,0,2,0.0,100.0,Male
Suber,2013,1,0,1,0.0,100.0,Male
Red,2013,2,0,2,0.0,100.0,Male
Ryden,2013,5,0,5,0.0,100.0,Male
Afan,2013,1,0,1,0.0,100.0,Male
Warren,2013,6,0,6,0.0,100.0,Male
Aydan,2013,4,0,4,0.0,100.0,Male
Daylen,2013,6,0,6,0.0,100.0,Male
Kirat,2013,1,0,1,0.0,100.0,Male
Cage,2013,1,0,1,0.0,100.0,Male
Vivan,2013,2,0,2,0.0,100.0,Male
Shae,2013,252,178,74,70.63492063492063,29.365079365079367,Unisex
Aven,2013,95,58,37,61.05263157894737,38.94736842105263,Unisex
Myer,2013,21,6,15,28.57142857142857,71.42857142857143,Unisex
Eberle,2013,12,8,4,66.66666666666666,33.33333333333333,Unisex
Sage,2013,529,366,163,69.18714555765595,30.812854442344044,Unisex
Beaux,2013,7,3,4,42.85714285714285,57.14285714285714,Unisex
Storm,2013,89,36,53,40.44943820224719,59.55056179775281,Unisex
Ocean,2013,183,149,34,81.4207650273224,18.5792349726776,Unisex
Rory,2013,743,150,593,20.18842530282637,79.81157469717361,Unisex
Austyn,2013,172,79,93,45.93023255813954,54.06976744186046,Unisex
Reece,2013,482,85,397,17.634854771784234,82.36514522821577,Unisex
Dakota,2013,1265,546,719,43.16205533596838,56.837944664031625,Unisex
Lexington,2013,24,15,9,62.5,37.5,Unisex
Rian,2013,74,40,34,54.054054054054056,45.94594594594595,Unisex
Amari,2013,46,17,29,36.95652173913043,63.04347826086957,Unisex
Kyrie,2013,116,48,68,41.37931034482759,58.620689655172406,Unisex
Channing,2013,67,29,38,43.28358208955223,56.71641791044776,Unisex
Drew,2013,880,147,733,16.704545454545457,83.29545454545455,Unisex
Robin,2013,1019,608,411,59.66633954857704,40.333660451422965,Unisex
Amrit,2013,107,54,53,50.467289719626166,49.53271028037384,Unisex
Shiloh,2013,179,145,34,81.00558659217877,18.994413407821227,Unisex
