Name,Year,Total_sum,Female_count,Male_count,Female_percentage,Male_percentage,Gender
BERTRAND,1908,102,0,102,0.0,100.0,Male
YVAN,1908,68,0,68,0.0,100.0,Male
FRANCK,1908,51,0,51,0.0,100.0,Male
ALEXIS,1908,480,0,480,0.0,100.0,Male
EUSTACHE,1908,1376,277,1099,20.13081395348837,79.86918604651163,Unisex
ALIX,1908,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
TIMOLEON,1908,481,101,380,20.997920997921,79.002079002079,Unisex
APPOLINAIRE,1909,632,126,506,19.93670886075949,80.0632911392405,Unisex
CAMILLE,1909,287709,207732,79977,72.20212089298562,27.79787910701437,Unisex
DOMINIQUE,1909,409989,168027,241962,40.98329467375954,59.01670532624046,Unisex
SEPTIME,1909,394,119,275,30.20304568527919,69.79695431472082,Unisex
EUSEBE,1910,1151,212,939,18.41876629018245,81.58123370981755,Unisex
CAMILLE,1910,287709,207732,79977,72.20212089298562,27.79787910701437,Unisex
SERVAIS,1910,812,150,662,18.47290640394089,81.5270935960591,Unisex
HYACINTHE,1910,4679,1173,3506,25.069459286172258,74.93054071382774,Unisex
ALLAIN,1911,18,0,18,0.0,100.0,Male
ALIX,1911,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
SULPICE,1911,508,182,326,35.826771653543304,64.1732283464567,Unisex
IRENEE,1911,6155,1854,4301,30.121852152721363,69.87814784727864,Unisex
DOMINIQUE,1911,409989,168027,241962,40.98329467375954,59.01670532624046,Unisex
MAURICETTE,1912,187,187,0,100.0,0.0,Female
OLIVIA,1912,25,25,0,100.0,0.0,Female
ANTONIE,1912,986,749,237,75.9634888438134,24.036511156186613,Unisex
SCHOLASTIQUE,1912,1080,835,245,77.31481481481481,22.685185185185187,Unisex
CALIXTE,1912,3347,540,2807,16.13385121003884,83.86614878996116,Unisex
ANGELA,1913,28,28,0,100.0,0.0,Female
HERBERT,1913,23,0,23,0.0,100.0,Male
MARIE-JOSEPH,1913,2275,1830,445,80.43956043956044,19.56043956043956,Unisex
ALIX,1913,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
NONCE,1913,598,172,426,28.762541806020064,71.23745819397993,Unisex
SCHOLASTIQUE,1913,1080,835,245,77.31481481481481,22.685185185185187,Unisex
LEONIDE,1914,1588,1245,343,78.40050377833752,21.599496221662463,Unisex
ALIX,1914,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
NONCE,1914,598,172,426,28.762541806020064,71.23745819397993,Unisex
AGATHE,1915,56,56,0,100.0,0.0,Female
HYACINTHE,1915,4679,1173,3506,25.069459286172258,74.93054071382774,Unisex
SAINTE,1915,1055,648,407,61.4218009478673,38.5781990521327,Unisex
SABAS,1915,607,220,387,36.24382207578254,63.75617792421746,Unisex
GEORGE,1915,2417,650,1767,26.89284236657013,73.10715763342988,Unisex
LINA,1916,122,122,0,100.0,0.0,Female
NICOMEDE,1916,7,0,7,0.0,100.0,Male
EUSEBE,1916,1151,212,939,18.41876629018245,81.58123370981755,Unisex
SABAS,1916,607,220,387,36.24382207578254,63.75617792421746,Unisex
SERVAIS,1916,812,150,662,18.47290640394089,81.5270935960591,Unisex
GEORGE,1916,2417,650,1767,26.89284236657013,73.10715763342988,Unisex
EMILIENNE,1917,951,951,0,100.0,0.0,Female
NOELISE,1917,6,6,0,100.0,0.0,Female
AMÉLIE,1917,98201,98078,123,99.8747466930072,0.1252533069928005,Female
PARFAIT,1917,985,94,891,9.543147208121828,90.45685279187818,Male
FIACRE,1917,9,0,9,0.0,100.0,Male
MARCEL,1917,6423,0,6423,0.0,100.0,Male
CREPIN,1917,606,136,470,22.44224422442244,77.55775577557755,Unisex
PLACIDE,1917,1098,214,884,19.489981785063755,80.51001821493625,Unisex
HONORAT,1917,652,270,382,41.41104294478527,58.58895705521472,Unisex
MARY,1917,6861,5830,1031,84.97303600058301,15.026963999416996,Unisex
THEOPHILE,1918,151,0,151,0.0,100.0,Male
FIDELE,1918,793,162,631,20.42875157629256,79.57124842370744,Unisex
MAURILLE,1918,834,214,620,25.65947242206235,74.34052757793765,Unisex
ANDOCHE,1918,390,140,250,35.8974358974359,64.1025641025641,Unisex
PLACIDE,1919,1098,214,884,19.489981785063755,80.51001821493625,Unisex
GEORGE,1919,2417,650,1767,26.89284236657013,73.10715763342988,Unisex
MAURILLE,1919,834,214,620,25.65947242206235,74.34052757793765,Unisex
APPOLINAIRE,1919,632,126,506,19.93670886075949,80.0632911392405,Unisex
SEPTIME,1920,394,119,275,30.20304568527919,69.79695431472082,Unisex
CARMEL,1920,409,197,212,48.16625916870416,51.83374083129584,Unisex
CALIXTE,1920,3347,540,2807,16.13385121003884,83.86614878996116,Unisex
SULPICE,1920,508,182,326,35.826771653543304,64.1732283464567,Unisex
MADELEINE,1921,9449,9449,0,100.0,0.0,Female
RENAUD,1921,16,0,16,0.0,100.0,Male
DOMINIQUE,1921,409989,168027,241962,40.98329467375954,59.01670532624046,Unisex
SERVAIS,1921,812,150,662,18.47290640394089,81.5270935960591,Unisex
BONIFACE,1921,1187,217,970,18.28138163437237,81.71861836562763,Unisex
ANDOCHE,1921,390,140,250,35.8974358974359,64.1025641025641,Unisex
LIE,1922,4,0,4,0.0,100.0,Male
THIMOTHEE,1922,509,100,409,19.64636542239685,80.35363457760315,Unisex
MAURILLE,1922,834,214,620,25.65947242206235,74.34052757793765,Unisex
ANTONIE,1922,986,749,237,75.9634888438134,24.036511156186613,Unisex
HYACINTHE,1922,4679,1173,3506,25.069459286172258,74.93054071382774,Unisex
PARFAIT,1923,12,0,12,0.0,100.0,Male
AMOUR,1923,782,287,495,36.70076726342711,63.29923273657288,Unisex
APPOLINAIRE,1923,632,126,506,19.93670886075949,80.0632911392405,Unisex
MAURILLE,1923,834,214,620,25.65947242206235,74.34052757793765,Unisex
HONORAT,1923,652,270,382,41.41104294478527,58.58895705521472,Unisex
GASTONIA,1924,3,3,0,100.0,0.0,Female
HONORAT,1924,652,270,382,41.41104294478527,58.58895705521472,Unisex
BONIFACE,1924,1187,217,970,18.28138163437237,81.71861836562763,Unisex
GODFROY,1924,277,69,208,24.90974729241877,75.09025270758123,Unisex
FIACRE,1925,253,59,194,23.3201581027668,76.6798418972332,Unisex
PULCHERIE,1925,738,579,159,78.45528455284553,21.54471544715448,Unisex
SERVAIS,1925,812,150,662,18.47290640394089,81.5270935960591,Unisex
CREPIN,1925,606,136,470,22.44224422442244,77.55775577557755,Unisex
JANY,1926,3897,2256,1641,57.89068514241724,42.10931485758276,Unisex
PULCHERIE,1926,738,579,159,78.45528455284553,21.54471544715448,Unisex
ARMEL,1927,38,0,38,0.0,100.0,Male
CALIXTE,1927,3347,540,2807,16.13385121003884,83.86614878996116,Unisex
AMOUR,1927,782,287,495,36.70076726342711,63.29923273657288,Unisex
ALIX,1927,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
CREPIN,1927,606,136,470,22.44224422442244,77.55775577557755,Unisex
ARMEL,1928,40,0,40,0.0,100.0,Male
OCTAVE,1928,107,0,107,0.0,100.0,Male
JANY,1928,3897,2256,1641,57.89068514241724,42.10931485758276,Unisex
EUSTASE,1928,347,116,231,33.429394812680115,66.57060518731988,Unisex
SULPICE,1928,508,182,326,35.826771653543304,64.1732283464567,Unisex
SABAS,1928,607,220,387,36.24382207578254,63.75617792421746,Unisex
MODESTE,1929,1853,656,1197,35.4020507285483,64.59794927145171,Unisex
MESMIN,1929,773,183,590,23.67399741267788,76.32600258732212,Unisex
LEONCE,1929,9290,2041,7249,21.96986006458557,78.03013993541443,Unisex
ALFREDA,1930,155,155,0,100.0,0.0,Female
BIANCA,1930,5,5,0,100.0,0.0,Female
ALIX,1930,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
MESMIN,1930,773,183,590,23.67399741267788,76.32600258732212,Unisex
AGNAN,1930,455,124,331,27.25274725274725,72.74725274725274,Unisex
ANTONIE,1930,986,749,237,75.9634888438134,24.036511156186613,Unisex
ALLAIN,1931,35,0,35,0.0,100.0,Male
MARCEL,1931,10191,0,10191,0.0,100.0,Male
HONORAT,1931,652,270,382,41.41104294478527,58.58895705521472,Unisex
LIE,1931,328,80,248,24.390243902439025,75.60975609756098,Unisex
GABY,1931,4741,2448,2293,51.63467622864375,48.36532377135626,Unisex
EUTROPE,1931,194,70,124,36.08247422680412,63.91752577319587,Unisex
PAULIN,1932,17,0,17,0.0,100.0,Male
MODESTE,1932,1853,656,1197,35.4020507285483,64.59794927145171,Unisex
JEANNY,1932,968,718,250,74.17355371900827,25.82644628099173,Unisex
ANTONIE,1932,986,749,237,75.9634888438134,24.036511156186613,Unisex
ALBINA,1933,13,13,0,100.0,0.0,Female
JOËLLE,1933,77,77,0,100.0,0.0,Female
JUDITH,1933,25,25,0,100.0,0.0,Female
ALIX,1933,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
MAURILLE,1933,834,214,620,25.65947242206235,74.34052757793765,Unisex
MARY,1933,6861,5830,1031,84.97303600058301,15.026963999416996,Unisex
EUSTASE,1933,347,116,231,33.429394812680115,66.57060518731988,Unisex
ALEXIS,1934,238,0,238,0.0,100.0,Male
GABY,1934,4741,2448,2293,51.63467622864375,48.36532377135626,Unisex
ATTALE,1934,80,27,53,33.75,66.25,Unisex
ALIX,1934,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
NICOLETTE,1935,11,11,0,100.0,0.0,Female
YVAN,1935,247,0,247,0.0,100.0,Male
_PRENOMS_RARES,1935,1760252,908578,851674,51.616359475802334,48.38364052419767,Unisex
SCHOLASTIQUE,1935,1080,835,245,77.31481481481481,22.685185185185187,Unisex
JEAN-MARIE,1936,481,0,481,0.0,100.0,Male
JANY,1936,3897,2256,1641,57.89068514241724,42.10931485758276,Unisex
EUSTACHE,1936,1376,277,1099,20.13081395348837,79.86918604651163,Unisex
ATTALE,1936,80,27,53,33.75,66.25,Unisex
MARIE-JOSEPH,1936,2275,1830,445,80.43956043956044,19.56043956043956,Unisex
FLORE,1937,22,22,0,100.0,0.0,Female
IRENEE,1937,6155,1854,4301,30.121852152721363,69.87814784727864,Unisex
EUTROPE,1937,194,70,124,36.08247422680412,63.91752577319587,Unisex
JUDITH,1938,25,25,0,100.0,0.0,Female
OCTAVE,1938,46,0,46,0.0,100.0,Male
ANDOCHE,1938,390,140,250,35.8974358974359,64.1025641025641,Unisex
AMOUR,1938,782,287,495,36.70076726342711,63.29923273657288,Unisex
MODESTE,1938,1853,656,1197,35.4020507285483,64.59794927145171,Unisex
GODFROY,1938,277,69,208,24.90974729241877,75.09025270758123,Unisex
EMILIENNE,1939,396,396,0,100.0,0.0,Female
GASTONIA,1939,3,3,0,100.0,0.0,Female
JEANNE-MARIE,1939,22,22,0,100.0,0.0,Female
SÉBASTIEN,1939,304173,122,304051,0.0401087538999187,99.95989124610009,Male
HONORAT,1939,652,270,382,41.41104294478527,58.58895705521472,Unisex
HYACINTHE,1939,4679,1173,3506,25.069459286172258,74.93054071382774,Unisex
NICOMEDE,1939,430,193,237,44.88372093023256,55.11627906976744,Unisex
AMÉLIE,1940,98201,98078,123,99.8747466930072,0.1252533069928005,Female
GODFROY,1940,277,69,208,24.90974729241877,75.09025270758123,Unisex
CAMILLE,1940,287709,207732,79977,72.20212089298562,27.79787910701437,Unisex
CLAUDY,1940,2240,835,1405,37.27678571428572,62.72321428571429,Unisex
GEORGE,1940,2417,650,1767,26.89284236657013,73.10715763342988,Unisex
MADELEINE,1941,2615,2615,0,100.0,0.0,Female
ALFREDA,1941,35,35,0,100.0,0.0,Female
_PRENOMS_RARES,1941,1760252,908578,851674,51.616359475802334,48.38364052419767,Unisex
JANNICK,1941,2792,1545,1247,55.336676217765046,44.66332378223496,Unisex
LIE,1941,328,80,248,24.390243902439025,75.60975609756098,Unisex
ADOLPHE,1942,16559,124,16435,0.7488374901866055,99.2511625098134,Male
CYRIL,1942,4,0,4,0.0,100.0,Male
JANNY,1942,1044,617,427,59.099616858237546,40.90038314176245,Unisex
EUTROPE,1942,194,70,124,36.08247422680412,63.91752577319587,Unisex
MAURICETTE,1943,1184,1184,0,100.0,0.0,Female
HÉLÈNE,1943,281614,281438,176,99.93750310708984,0.0624968929101536,Female
MARIE-JOSEPH,1943,2275,1830,445,80.43956043956044,19.56043956043956,Unisex
DANNY,1943,3396,610,2786,17.962308598351,82.037691401649,Unisex
CREPIN,1943,606,136,470,22.44224422442244,77.55775577557755,Unisex
JANICK,1943,4109,2203,1906,53.61401800924799,46.38598199075201,Unisex
MESMIN,1944,773,183,590,23.67399741267788,76.32600258732212,Unisex
JANNICK,1944,2792,1545,1247,55.336676217765046,44.66332378223496,Unisex
JANY,1944,3897,2256,1641,57.89068514241724,42.10931485758276,Unisex
AGNAN,1944,455,124,331,27.25274725274725,72.74725274725274,Unisex
ROSEMONDE,1945,50,50,0,100.0,0.0,Female
FIDELE,1945,3,3,0,100.0,0.0,Female
YANICK,1945,3028,482,2546,15.918097754293262,84.08190224570674,Unisex
TIMOLEON,1945,481,101,380,20.997920997921,79.002079002079,Unisex
LEONIDE,1945,1588,1245,343,78.40050377833752,21.599496221662463,Unisex
BONIFACE,1945,1187,217,970,18.28138163437237,81.71861836562763,Unisex
LEONCE,1946,9290,2041,7249,21.96986006458557,78.03013993541443,Unisex
_PRENOMS_RARES,1946,1760252,908578,851674,51.616359475802334,48.38364052419767,Unisex
DANY,1946,26027,7836,18191,30.10719637299728,69.89280362700273,Unisex
JOËLLE,1947,2590,2590,0,100.0,0.0,Female
PAULIN,1947,26,0,26,0.0,100.0,Male
JEAN-DENIS,1947,26,0,26,0.0,100.0,Male
JANNY,1947,1044,617,427,59.099616858237546,40.90038314176245,Unisex
JOSY,1947,1021,840,181,82.27228207639568,17.72771792360431,Unisex
MARY,1947,6861,5830,1031,84.97303600058301,15.026963999416996,Unisex
_PRENOMS_RARES,1947,1760252,908578,851674,51.616359475802334,48.38364052419767,Unisex
ELODIE,1948,8,8,0,100.0,0.0,Female
NICOLETTE,1948,14,14,0,100.0,0.0,Female
ALICE,1948,528,528,0,100.0,0.0,Female
INEL,1948,3,0,3,0.0,100.0,Male
YANICK,1948,3028,482,2546,15.918097754293262,84.08190224570674,Unisex
JANY,1948,3897,2256,1641,57.89068514241724,42.10931485758276,Unisex
JEANNY,1948,968,718,250,74.17355371900827,25.82644628099173,Unisex
DOMINIQUE,1948,409989,168027,241962,40.98329467375954,59.01670532624046,Unisex
ANONYME,1949,513,197,316,38.40155945419103,61.59844054580896,Unisex
ALIX,1949,37305,28371,8934,76.05146763168477,23.94853236831524,Unisex
SAINTE,1949,1055,648,407,61.4218009478673,38.5781990521327,Unisex
ROSITA,1950,60,60,0,100.0,0.0,Female
ROSARIO,1950,1546,781,765,50.51746442432082,49.48253557567917,Unisex
CLAUDY,1950,2240,835,1405,37.27678571428572,62.72321428571429,Unisex
GEORGE,1950,2417,650,1767,26.89284236657013,73.10715763342988,Unisex
CARMEL,1951,4,0,4,0.0,100.0,Male
ANONYME,1951,513,197,316,38.40155945419103,61.59844054580896,Unisex
JOSY,1951,1021,840,181,82.27228207639568,17.72771792360431,Unisex
NICAISE,1951,1786,1255,531,70.26875699888018,29.73124300111982,Unisex
LEONCE,1951,9290,2041,7249,21.96986006458557,78.03013993541443,Unisex
THEOPHILE,1952,26,0,26,0.0,100.0,Male
