Name,Year,Total_sum,Female_count,Male_count,Female_percentage,Male_percentage,Gender
Bobbye,1914,5,5,0,100.0,0.0,Female
Ethelyn,1914,95,95,0,100.0,0.0,Female
Mildred,1914,11686,11649,37,99.68338182440527,0.3166181755947287,Female
Jerlean,1914,5,5,0,100.0,0.0,Female
Clementina,1914,30,30,0,100.0,0.0,Female
Loucinda,1914,5,5,0,100.0,0.0,Female
Corabelle,1914,11,11,0,100.0,0.0,Female
Hassie,1914,41,41,0,100.0,0.0,Female
Lona,1914,139,139,0,100.0,0.0,Female
Rochester,1914,6,0,6,0.0,100.0,Male
Domenick,1914,46,0,46,0.0,100.0,Male
Donovan,1914,35,0,35,0.0,100.0,Male
Salvador,1914,72,0,72,0.0,100.0,Male
Gentry,1914,12,0,12,0.0,100.0,Male
Halbert,1914,21,0,21,0.0,100.0,Male
Romie,1914,31,0,31,0.0,100.0,Male
Ferrell,1914,23,0,23,0.0,100.0,Male
Sheppard,1914,5,0,5,0.0,100.0,Male
Clair,1914,237,33,204,13.924050632911392,86.07594936708861,Male
Marsden,1914,5,0,5,0.0,100.0,Male
Erby,1914,8,0,8,0.0,100.0,Male
Calvin,1914,536,5,531,0.9328358208955224,99.06716417910448,Male
Art,1914,28,0,28,0.0,100.0,Male
Ramiro,1914,10,0,10,0.0,100.0,Male
Saint,1914,14,6,8,42.85714285714285,57.14285714285714,Unisex
Othel,1914,27,10,17,37.03703703703704,62.96296296296296,Unisex
Otha,1914,101,21,80,20.7920792079208,79.20792079207921,Unisex
Odell,1914,302,122,180,40.397350993377486,59.60264900662252,Unisex
Doyne,1914,12,5,7,41.66666666666667,58.333333333333336,Unisex
Connie,1914,356,293,63,82.30337078651685,17.696629213483146,Unisex
Dana,1914,103,39,64,37.86407766990291,62.13592233009708,Unisex
Massie,1914,15,6,9,40.0,60.0,Unisex
Luby,1914,10,5,5,50.0,50.0,Unisex
Artie,1914,167,134,33,80.23952095808383,19.760479041916167,Unisex
Jan,1914,29,8,21,27.58620689655172,72.41379310344827,Unisex
Trinidad,1914,35,23,12,65.71428571428571,34.285714285714285,Unisex
Bobbie,1914,178,148,30,83.14606741573034,16.853932584269664,Unisex
Macy,1914,22,17,5,77.27272727272727,22.727272727272727,Unisex
Jessie,1914,3810,2861,949,75.09186351706036,24.908136482939632,Unisex
Ara,1914,49,40,9,81.63265306122449,18.367346938775512,Unisex
Ozie,1914,34,24,10,70.58823529411765,29.411764705882355,Unisex
Orva,1914,16,9,7,56.25,43.75,Unisex
Carman,1914,18,5,13,27.77777777777778,72.22222222222221,Unisex
Vertis,1914,15,6,9,40.0,60.0,Unisex
Waverly,1914,21,5,16,23.809523809523807,76.19047619047619,Unisex
Beryl,1914,221,180,41,81.44796380090497,18.552036199095024,Unisex
Donnie,1914,102,76,26,74.50980392156863,25.49019607843137,Unisex
Jackie,1914,66,47,19,71.21212121212122,28.78787878787879,Unisex
Hassie,1915,53,53,0,100.0,0.0,Female
Nila,1915,43,43,0,100.0,0.0,Female
Harryette,1915,8,8,0,100.0,0.0,Female
Elda,1915,241,241,0,100.0,0.0,Female
Claudia,1915,395,387,8,97.9746835443038,2.0253164556962027,Female
Marcelino,1915,27,0,27,0.0,100.0,Male
Sol,1915,272,0,272,0.0,100.0,Male
Oval,1915,20,0,20,0.0,100.0,Male
Marshall,1915,715,0,715,0.0,100.0,Male
Burl,1915,130,0,130,0.0,100.0,Male
Darby,1915,5,0,5,0.0,100.0,Male
Rapheal,1915,9,0,9,0.0,100.0,Male
Boyd,1915,335,0,335,0.0,100.0,Male
Gustave,1915,152,0,152,0.0,100.0,Male
Jomes,1915,5,0,5,0.0,100.0,Male
Veryl,1915,26,10,16,38.46153846153847,61.53846153846154,Unisex
Ollie,1915,1143,855,288,74.80314960629921,25.196850393700785,Unisex
Doyne,1915,16,6,10,37.5,62.5,Unisex
Golden,1915,92,47,45,51.08695652173913,48.91304347826087,Unisex
Elba,1915,35,27,8,77.14285714285715,22.857142857142858,Unisex
Caryl,1915,39,33,6,84.61538461538461,15.384615384615383,Unisex
Loye,1915,13,6,7,46.15384615384615,53.84615384615385,Unisex
Unknown,1915,43,19,24,44.18604651162791,55.81395348837209,Unisex
Jonnie,1915,85,50,35,58.82352941176471,41.17647058823529,Unisex
Curlie,1915,12,6,6,50.0,50.0,Unisex
Burdette,1915,49,8,41,16.3265306122449,83.6734693877551,Unisex
Vernell,1915,74,60,14,81.08108108108108,18.91891891891892,Unisex
Carmon,1915,51,16,35,31.37254901960784,68.62745098039215,Unisex
Ivon,1915,15,7,8,46.66666666666666,53.333333333333336,Unisex
Velmer,1915,20,11,9,55.00000000000001,45.0,Unisex
France,1915,21,12,9,57.14285714285714,42.85714285714285,Unisex
Marcell,1915,21,9,12,42.85714285714285,57.14285714285714,Unisex
Lovell,1915,42,13,29,30.95238095238096,69.04761904761905,Unisex
Merril,1915,23,5,18,21.73913043478261,78.26086956521739,Unisex
Dennie,1915,29,6,23,20.6896551724138,79.3103448275862,Unisex
Ronnie,1915,30,20,10,66.66666666666666,33.33333333333333,Unisex
Mannie,1915,32,11,21,34.375,65.625,Unisex
Lavell,1915,18,6,12,33.33333333333333,66.66666666666666,Unisex
